total_rooms,population,households,median_house_value
6409,3359,1267,173300
7836,4419,1526,180700
1748,985,416,180600
2059,1073,339,183800
1485,1006,258,158500
912,522,150,178000
1004,772,217,174500
4066,2105,737,199600
1324,799,228,192200
3082,2008,619,182700
1470,885,246,168800
1574,1088,289,165300
806,446,153,151300
2923,1751,656,157000
1447,1224,268,141900
1566,1396,317,141300
2434,1623,498,140200
1286,1047,249,140100
2559,1674,623,155600
2029,1327,364,164300
2159,1443,385,147400
3076,2868,752,117600
1640,1312,358,136100
1126,819,311,139800
1801,1564,425,133000
1788,1787,361,124100
1555,1571,386,138200
957,804,221,151400
1540,1037,317,138500
1762,1526,365,132600
2673,2259,592,145500
1391,1038,298,149500
2552,2161,548,144400
294,266,80,134400
4776,4797,1187,142600
3158,2396,713,153000
2838,2151,645,126200
1239,929,244,153400
123,121,26,137500
2399,2307,531,141000
1507,1548,347,147200
3543,3131,823,139400
441,504,108,152500
2491,2660,595,145800
1696,1609,426,138500
1681,1648,373,145900
1032,954,191,134800
2027,1781,447,142400
2227,1961,481,164100
2910,2583,670,158400
2063,1573,468,157100
1438,1325,335,162500
3640,3537,807,152200
5661,5389,1178,159700
3073,2640,594,161300
3569,3339,762,160500
1986,2013,432,140800
4036,3878,846,141600
1558,1600,338,143900
1399,1285,276,160100
2686,2477,573,160800
1954,1584,496,131000
2775,2847,642,141800
2779,2259,670,143400
2215,1792,419,166500
2278,1728,448,154100
1179,1296,331,140600
1076,1242,332,151800
4151,3563,848,159900
2831,2330,557,173100
2707,1742,626,176700
2704,1669,497,195400
1970,1269,406,201200
2393,1336,418,187700
1137,672,226,189000
1987,1279,378,176500
2192,1376,428,163900
782,499,163,161300
1891,1093,382,165500
1185,769,235,154200
1285,679,231,191900
2108,1257,414,185200
1409,819,273,188800
1371,806,241,187100
689,379,128,206000
1597,901,272,197000
1788,1139,320,185800
2325,1170,445,217100
1443,861,262,186900
1479,741,245,189600
1860,1011,305,207000
1897,965,323,199400
3694,1999,718,181100
4327,2296,963,185400
1810,1164,332,165700
1921,1492,393,150500
3007,1766,616,166000
2746,1779,501,166700
2994,1933,561,160700
3341,1762,679,180400
3185,1858,564,175900
2048,1456,416,168600
2739,1481,483,176600
1562,825,266,220800
2068,976,370,201200
1055,538,206,181300
1205,583,319,188900
1813,1100,375,176700
1726,892,335,191800
6132,3147,1449,187800
1711,825,356,215600
2115,1107,477,207400
2374,1580,427,200300
5482,3426,1117,204400
3652,1525,484,428500
6689,3081,1047,491200
1313,599,209,287200
1701,831,275,274700
1330,578,192,266200
1439,804,271,188600
1646,1056,280,172000
834,392,123,218800
2956,1488,464,268300
1009,466,149,249400
1390,887,266,189000
2938,1519,549,204200
2819,1718,558,197600
1057,658,207,191700
1699,1052,411,195500
3250,1382,513,218300
3189,1727,500,211100
2894,1420,479,224900
1505,798,259,202100
1022,628,187,187500
1340,848,244,205100
3055,1902,565,190700
175,129,20,182500
3342,2210,647,202800
1428,890,249,204800
3418,2003,622,210200
1921,1230,447,193900
1207,683,213,207300
1814,1187,363,170800
1375,951,272,195200
2252,1370,411,184800
2819,1508,485,191700
2226,1464,365,183200
2017,1462,457,167300
1452,1274,278,162700
3580,2786,636,166800
1353,1079,237,160300
2516,2194,497,155500
2391,1967,398,160700
2342,2176,416,156900
1792,1441,306,151100
2028,1727,371,157600
931,746,201,158000
1299,763,216,161400
2050,1832,465,155700
1560,1467,313,159800
2547,2108,498,154600
1507,1326,324,163300
1686,1355,388,157300
2093,1755,403,150400
1623,1462,312,152600
1453,1609,319,155800
804,727,179,145700
1254,1092,268,163100
1475,1149,284,158600
1309,1113,253,156500
1044,982,205,153900
1141,924,212,148300
1458,1115,257,158100
1381,1020,268,146900
1993,1385,380,181900
1729,1341,324,163500
1431,1367,334,160200
1403,977,257,163000
1519,1262,300,161200
2349,2028,521,154500
1493,1571,354,158900
2610,2296,750,150800
1499,1112,268,149000
1375,1015,239,151800
1782,1517,376,157900
3188,3883,840,157600
1733,1757,375,153800
5026,3899,930,162900
1129,900,228,135600
1919,1203,363,144100
1341,898,216,157300
1819,1728,375,162400
1469,1285,308,159500
2160,1694,403,163100
2246,1837,431,164500
6361,4580,1109,181000
1336,905,253,178100
11989,6652,2081,278300
629,253,75,330400
8749,5278,1691,168800
2241,1743,448,161900
6756,4429,1299,178200
5459,3394,1087,192100
4535,3881,930,154100
1702,2091,352,131100
2383,2079,494,141400
5973,4349,1229,199300
14058,8997,2497,226200
6269,5587,1251,136200
3055,3738,615,127200
1468,1390,276,190600
349,460,83,133300
797,484,166,191100
8076,5325,1707,171900
116,193,35,136300
265,170,50,187500
3272,1784,591,211300
2837,2031,555,209700
682,813,173,138000
4468,4027,938,168300
5640,3538,978,215400
6909,3912,1121,226100
2945,2044,652,183900
3512,1971,598,193200
2643,1344,381,262100
2988,1371,415,382500
5992,2647,969,302400
3530,2959,679,152900
2006,1410,346,165500
1983,1407,367,179000
5284,2613,932,289900
3632,1968,566,324900
3343,1429,457,334300
2275,1039,333,333500
8399,3727,1107,360400
2376,1858,449,176300
5462,3527,914,186700
2777,1954,522,183800
16414,8907,2714,362500
16042,7732,2552,330400
6100,3112,982,284000
3978,2418,665,269900
1219,610,185,325000
1075,451,132,332200
1348,660,200,297600
2799,1348,389,311100
3335,1560,555,300300
1259,599,170,302200
19059,10988,3061,265200
3088,1415,641,184500
9893,7228,2159,186700
7353,4014,1124,213200
1171,1126,276,105800
62,44,16,112500
1391,727,369,137500
437,469,97,107500
378,503,103,94600
477,502,117,112500
24,46,7,67500
859,421,138,220100
7116,3538,1083,273800
1620,868,275,219400
3859,2283,759,184500
1943,1526,353,137500
2221,1328,523,151700
1994,993,403,163900
907,619,194,179600
3595,1839,877,150300
1328,903,329,136000
683,541,138,151700
1596,1329,352,148000
2038,1546,469,144500
1447,1279,290,142900
2110,1890,448,130500
2474,1268,437,500001
5005,2112,813,295000
1020,398,157,311800
1745,753,275,318500
2981,1063,437,365000
3838,1851,674,262000
1354,531,206,270600
3436,1540,648,256800
2234,986,439,265500
2419,1045,432,280800
3868,1558,528,500001
1640,693,253,500001
1694,674,267,486800
2267,980,372,307400
2726,1059,380,410400
2535,1036,437,388900
1885,764,373,265700
3134,1220,508,455400
1594,633,247,350700
3908,1688,725,376800
3320,1236,659,278600
1467,816,267,286500
2297,909,412,362500
3585,1401,623,330000
1401,667,225,484700
2731,1034,338,500001
5131,1877,622,500001
1980,697,226,500001
2125,862,303,500001
4307,1769,845,391500
2461,1179,360,437300
2662,1151,387,500001
1446,721,243,352200
3359,1227,588,276200
1523,676,295,377200
249,268,29,500001
3264,1475,668,218300
12139,5359,2731,227300
1077,478,199,252800
3308,1803,667,273600
4353,2338,1037,242600
1332,648,203,365900
2874,1239,431,430900
1966,980,297,429000
2352,995,359,445700
2250,989,329,366000
2454,1110,435,414800
1471,751,230,395100
1778,870,281,408500
2837,1344,458,437400
3350,1816,744,161700
3425,2202,729,187300
6854,4131,1524,222800
2492,1951,596,185600
2583,1544,617,178300
6597,3689,1459,184100
6341,2899,1192,235200
2346,1988,474,153000
2584,1869,503,167000
1298,1131,425,178100
1302,800,291,166900
1005,742,221,158100
1568,1618,350,129400
1527,1504,324,130100
1040,1040,242,139200
1340,928,333,175000
870,546,164,173800
3374,1906,640,212300
1185,657,198,214800
1937,922,340,278400
1978,826,470,212200
1858,1054,329,211600
1722,794,322,212200
1928,1008,368,233700
452,248,83,226000
1504,718,261,219000
2301,1079,398,233600
2773,1376,540,201700
2647,1473,520,223900
2668,1512,541,233100
2076,988,332,416900
773,405,121,447100
1275,598,174,500001
3677,1779,622,426500
2485,1072,342,430200
2522,1113,357,445200
2007,921,307,500001
2170,984,309,500001
5218,2302,850,476700
3891,1848,759,248100
2941,1660,576,271500
2053,1044,375,275400
1410,677,274,272400
2178,914,412,239500
2603,1196,487,248700
2302,1590,406,273800
1606,889,294,272600
3229,1599,609,257100
1576,697,282,283600
1833,786,334,256700
2438,1308,461,260100
2317,1155,426,235300
2597,1542,470,248900
2143,1107,416,252200
2065,1313,402,274300
2036,1096,371,262500
1960,874,308,265900
1239,717,237,258100
1975,1116,378,251600
1745,1293,357,198100
1224,887,276,202400
2557,1715,530,208800
1823,1485,401,207200
3214,2316,751,206800
2001,1461,397,183000
1148,975,253,173300
1339,817,349,186000
602,409,123,146400
1747,1199,402,191800
2741,2449,677,175200
2080,1976,478,170000
1219,1152,323,180900
1780,1732,454,169600
2249,1544,441,176300
3402,2331,690,179200
2424,1713,557,181400
2120,1375,405,166300
2003,1520,364,195300
2281,1969,500,166300
2769,2452,581,175900
1852,1414,347,173600
1613,1283,404,181700
1627,1279,289,185100
2402,2830,603,164200
775,726,183,159200
1597,1311,352,162800
177,269,75,131300
572,752,182,138800
4909,4983,1293,143500
1572,1857,428,159200
778,850,198,180500
1197,942,245,189100
1988,1239,402,201500
2462,1843,538,211900
1554,1427,370,207100
1210,733,243,214600
4492,4119,1035,183100
2308,3034,691,184400
1091,905,242,152000
1018,1307,292,162100
1382,1090,308,174000
2451,2536,648,173100
6311,6666,1456,182600
557,455,196,155400
5684,6626,1481,166800
3245,3528,887,156300
1513,1396,364,170600
2343,3537,824,135200
2510,3481,726,157800
957,1300,287,153400
2019,2481,484,154200
1258,988,228,176100
2286,2991,655,174500
531,722,166,162500
1022,1570,297,142000
2127,3160,620,173900
1778,2184,574,165900
1370,1062,277,199300
4089,3775,955,205500
2873,2758,699,168600
1252,1337,263,156800
1084,920,199,162200
1516,1011,344,160300
2469,3818,712,151400
1058,1043,229,137500
1734,1527,344,160600
1619,1492,342,165100
1348,1098,257,161200
21,21,9,175000
2929,3792,817,173800
1610,2050,508,156300
1359,1557,370,157500
1345,1511,309,142300
1135,1717,368,161700
991,1145,265,167000
2464,2932,568,165800
6175,5041,1408,158100
3113,1139,418,500001
4062,1525,566,454800
2415,1215,413,326100
2142,986,374,326000
2321,880,339,450000
1430,620,201,483300
2405,970,319,444100
4915,1897,700,359400
2676,1022,395,295500
2539,930,364,303900
1449,621,210,274100
1213,529,231,234000
1271,573,210,240200
1621,1015,329,242200
3595,1686,607,201000
2569,1282,432,207400
1997,1037,363,210300
1786,1018,322,182100
1505,857,269,184200
2765,1422,438,238900
1854,1126,382,161600
1717,868,295,160700
1840,1218,347,177900
1810,988,307,176000
1983,853,271,241700
10626,4353,1482,500001
2260,941,303,500001
1473,668,239,415900
2031,859,302,483700
1602,680,225,500001
1477,609,224,500001
1493,665,224,443900
1676,757,255,450800
3296,1268,478,500001
3008,1240,370,500001
2686,1094,402,500001
1376,618,226,431800
3646,1409,534,500001
2890,1219,429,500001
1371,528,155,500001
2061,825,254,500001
2176,798,243,500001
4269,1467,582,500001
5012,1699,715,500001
2230,1985,456,142100
2553,1740,492,127500
1870,1345,391,136100
568,559,135,135700
1193,703,221,163800
1401,607,271,218800
1521,1118,311,154900
2076,1641,436,149200
2195,1377,417,153500
1280,828,237,166700
1790,1035,312,173100
2203,1012,377,234000
3457,1700,579,226500
1678,737,287,237000
1750,1398,409,163100
2168,902,361,300900
3571,1434,490,376000
2357,891,337,352700
3094,1309,488,310900
1774,753,330,279600
1111,421,202,268100
3374,1484,569,261600
2837,1453,549,234600
2344,1537,481,230600
1464,603,226,309100
2705,1551,608,225000
1835,777,317,315400
1784,966,345,261500
1700,996,329,175000
2667,1681,504,173100
2757,2112,653,166800
1493,1000,323,154400
1054,1056,276,146700
2612,3117,584,148800
1711,1474,415,181300
2471,1661,441,146600
1284,925,261,178400
1508,674,255,155400
1276,545,209,230700
1576,696,249,261800
1721,571,278,500001
821,229,164,263000
2776,2546,773,153500
407,227,148,187500
275,273,111,500001
1925,2258,594,162500
806,698,172,137500
2384,2073,540,158000
2598,2869,769,142300
2410,2135,578,148600
930,1024,300,146400
1962,1329,457,200000
2973,2846,784,156300
2687,1716,544,205700
2162,1337,590,176700
1125,579,321,141700
1256,855,383,500001
1896,971,652,175000
1843,1449,524,215400
1762,940,398,188600
2682,2050,692,169500
1665,1095,390,155600
557,673,212,168800
1671,1005,443,171400
2099,1252,554,173100
1119,739,323,125000
2948,1363,495,287900
1872,984,364,250400
1596,1024,292,227900
1787,1107,410,215000
2875,1131,458,269300
2795,1235,469,283700
4505,2296,899,300500
2166,1308,467,222600
3158,1229,444,325600
2489,1101,438,320300
1353,852,306,239900
1950,1038,438,196100
2193,1186,559,184100
1760,984,384,198200
2218,1211,422,241900
2863,1412,498,330200
978,543,211,199000
1442,782,343,177500
3490,1713,620,242400
271,150,55,237500
670,268,110,205000
1467,688,260,260100
2199,942,353,321100
1804,730,276,397500
2459,970,437,369400
1095,672,234,209200
3200,1668,628,260400
238,142,31,500001
2923,1903,560,218700
1282,431,187,470800
1238,377,145,500001
1897,733,291,500001
2690,1149,535,281100
3092,1457,536,373800
1345,749,327,210900
3066,1287,625,324400
2401,810,308,358700
6262,3001,1505,213200
3298,1417,643,434800
2337,981,328,490400
3420,1718,947,217900
2099,1500,380,493200
5465,2511,1359,210900
3559,1658,965,163900
10239,4210,2565,225000
3404,1694,949,282300
1499,755,414,258300
543,454,181,55000
403,361,105,187500
1551,816,233,500001
3039,973,446,500001
2257,759,305,500001
2734,1057,424,477800
2902,1007,420,363000
3039,1131,465,360900
2763,1143,465,500001
2443,947,451,314700
4003,1337,631,500001
2826,924,365,500001
3156,1109,423,500001
3569,1505,783,251100
4438,1650,741,479700
824,430,213,215000
2935,975,327,500001
2476,900,303,500001
2954,1152,347,500001
2907,956,279,500001
2787,1057,364,500001
2568,1102,345,500001
2742,1153,414,500001
1917,754,257,500001
1745,693,248,500001
2966,1231,409,500001
3783,1601,539,500001
1835,636,211,500001
2234,749,260,500001
788,413,139,396700
1598,807,282,325000
2638,1284,433,342700
1713,779,286,359900
3787,1992,853,251200
4465,2273,949,228500
2201,1194,531,279900
1554,802,277,272600
2921,1541,562,264100
1685,757,317,270500
2869,1627,533,270700
832,419,156,225000
2628,1494,523,257200
1969,927,354,285300
2830,1500,527,214600
2966,1231,482,316800
1883,764,289,414800
1788,792,294,280000
3367,1317,495,351400
2131,753,284,352200
2812,1329,490,292900
2124,785,319,359600
2057,1103,414,282600
2918,1435,568,306300
2742,1396,703,197500
3862,2773,1102,188200
3050,2153,772,214100
3447,2622,934,208700
1780,755,328,351100
4670,2478,1107,252400
4061,2290,790,258400
3367,1427,535,444500
4325,1927,795,419100
2375,930,351,469100
1746,704,306,364800
1000,363,158,352800
6119,2719,1402,319700
1810,742,429,350000
1518,725,296,204500
1789,848,311,500000
2231,940,484,435100
2246,995,459,354700
2618,1314,532,309300
3856,1847,830,364900
5715,2639,1079,364400
1091,632,234,263600
1758,892,447,278900
4971,2370,932,381400
4444,1922,652,477300
4073,2411,933,231000
1935,1456,382,192800
2203,1238,403,225800
1722,1122,425,224000
3514,2277,828,229300
1053,941,256,205600
3697,2446,787,199200
4164,2934,1014,218800
1745,1547,460,219000
3988,2909,1034,170000
1433,1110,346,191700
2999,2937,796,217800
695,523,170,220400
2012,1454,456,226600
4870,3518,1296,188400
700,662,210,191700
2562,1936,687,219000
1931,1367,446,228400
6010,3620,1445,201700
1379,1249,309,183100
1068,949,250,188500
2352,1517,463,258000
1937,1352,433,234600
3090,2109,738,192500
2578,1628,617,210900
2253,1262,511,259800
2178,1153,400,212000
676,543,185,187500
4275,2812,1012,214100
2679,1605,533,213200
1904,1183,364,210400
1889,1330,396,205200
1716,1343,386,211400
855,745,222,224000
1513,986,336,235600
1430,1165,328,206000
1003,769,231,218300
1460,829,273,227300
2894,1977,636,208100
4510,3985,1240,204600
2822,1434,520,238300
3172,1829,642,243200
2350,945,467,201000
1106,779,205,244800
1130,698,209,244400
3603,2719,913,208000
1437,980,282,245700
1782,1010,367,268200
3848,2814,972,227100
2248,1762,622,253900
2517,1883,607,223000
2433,1565,563,234900
1880,1404,424,220500
1770,1410,389,212500
1050,820,244,215600
1190,965,327,211800
1714,1590,568,183900
2130,1870,578,192200
5137,4945,1535,181600
3215,3072,870,202300
2609,2221,703,192300
1036,656,215,235000
2390,1246,422,245700
1339,706,238,253800
1983,887,331,234400
1626,1063,334,220700
2994,1651,561,241500
3836,2118,754,254600
1072,940,200,242700
3855,2517,874,204300
4284,2163,701,315100
1675,785,275,301100
5478,3062,1096,341100
3362,1939,754,305800
3287,1783,653,293300
1692,1130,365,198500
5257,3496,1036,237200
3229,1879,595,268400
1880,954,349,236400
1729,1308,412,197200
1137,800,281,233300
1526,1304,378,214700
1273,1148,368,214700
2416,1750,514,163700
2628,2208,574,160300
593,481,128,199300
1036,1058,235,184200
1349,1188,330,182100
1179,1255,308,176800
1270,1073,278,186600
1240,1383,338,170300
3661,3816,931,185000
794,709,170,170800
3437,3817,1042,203700
726,568,160,183200
1054,1032,258,188500
1980,2264,511,179400
3230,3485,827,171600
5841,3273,1131,185100
1146,1163,258,185600
2852,3100,725,178800
1463,1492,366,179200
1547,1700,410,187500
1764,1379,363,199000
3559,2975,715,183300
1495,1296,304,152300
5580,3842,1276,168500
1543,824,271,272600
3436,1729,529,266700
3913,2264,697,258000
3775,2416,792,247600
1038,598,190,254900
1938,1118,374,227300
1444,881,303,220500
1447,1042,284,211500
818,664,198,203300
1949,1216,457,209300
1966,1120,362,198800
1129,509,202,243200
1493,989,293,213700
2205,1392,423,211400
2103,1355,434,235300
1064,608,201,246900
3600,1382,435,500001
4943,1913,641,379300
1113,424,137,500001
4873,1995,638,441900
4055,1758,639,282400
4297,2038,700,258800
2217,851,291,498600
1431,505,213,401000
1755,774,290,296700
2414,878,305,453800
4078,1490,482,500001
40,25,7,375000
6531,2975,1018,403700
3548,2653,664,188800
1962,1488,332,155100
2245,1540,419,171000
1391,1025,275,176800
1973,1322,386,158100
1392,1471,348,143800
1188,1373,332,150900
1914,2122,529,150200
3789,2551,793,144200
1091,890,226,176400
1248,1282,326,147600
1465,1538,342,150600
897,1094,238,114100
1108,1151,229,149500
1722,1174,335,160600
1580,1290,338,162500
1369,1005,272,172600
1529,1271,287,175200
1326,933,267,162500
965,599,206,190300
1492,1041,270,165800
1042,863,228,157800
1270,1092,274,160700
2787,1923,614,177900
1683,1369,339,170700
1419,1125,296,162000
2024,2028,573,163900
1165,997,361,166300
1625,1134,288,164900
1204,1002,248,163300
552,807,168,153300
1723,1221,370,169200
1410,932,273,178000
1342,615,208,186900
1146,579,213,172600
1862,975,305,177600
5002,2597,893,219800
2976,2117,598,167300
2480,1085,438,263400
3531,1613,697,198600
1619,886,357,182400
862,484,176,186200
1588,827,292,166100
1203,637,211,174400
1471,670,250,188000
1951,1362,454,163200
1406,1174,390,137500
1694,1222,387,155300
5308,2114,838,279200
2792,1177,439,243800
1974,880,441,236800
2446,1699,692,163300
1617,1158,486,165600
3040,1580,735,182100
2530,1262,509,197100
1995,707,293,332700
2468,1190,479,238500
1903,887,306,313800
1451,608,246,290800
6540,3124,953,372600
1805,882,308,273500
2002,913,311,244700
2071,988,404,219700
1601,715,284,232400
1996,1029,387,224300
2126,1103,433,196200
2149,1359,481,167900
2376,1968,680,162500
2945,2313,832,177500
2185,1644,606,192000
2139,1138,412,168900
1681,964,311,181200
1745,1022,368,171400
1180,614,242,164600
1882,1034,375,173200
1772,934,326,177800
2722,1390,486,178500
1948,1163,379,154000
1430,1269,321,148800
2622,2778,644,160300
1759,1282,391,158200
2142,1305,406,172800
2854,2816,673,154000
1645,1077,320,159200
3304,2032,690,167800
1478,916,281,169800
1639,988,309,175800
1887,1006,329,170700
1026,789,193,163200
3400,3017,793,155600
928,913,214,147100
1265,1052,253,156200
1620,1258,309,166700
825,590,144,161200
1678,1380,352,163300
936,691,211,169500
1473,1108,294,166000
2664,2033,491,164300
2426,2010,514,163500
1357,1042,287,156700
1226,1068,271,172200
1927,1623,479,152000
2125,1672,476,166600
446,410,117,147200
3271,2593,616,169700
1116,719,233,163200
1991,1306,403,166600
1657,1195,309,160100
1184,946,232,162500
1878,1461,516,142500
2013,1476,475,192100
1743,981,291,173100
1962,1274,398,160600
1743,1328,354,162800
2104,1659,387,165000
1431,1162,288,165400
1911,1407,465,163000
1083,737,218,170800
2762,1576,493,183400
1585,1205,343,183400
1976,1379,395,175400
3933,2219,820,171400
1945,1227,359,171900
3808,2430,660,173900
1976,1236,355,174000
1954,1600,376,170800
495,527,130,149000
1045,1165,230,161800
894,883,190,141500
2107,2241,443,150000
1999,2170,466,154700
3382,2688,784,164700
2075,1312,396,164800
1414,1307,315,158300
2108,1243,394,167000
1805,1505,366,151900
1995,1573,407,153500
1726,1293,310,144100
2469,2151,537,156200
2400,1218,408,193800
2470,1386,411,179500
1699,889,271,179800
2572,1564,501,177200
1328,1115,275,164400
1748,917,378,169000
1579,816,276,181100
1705,871,296,179800
1632,797,283,179500
1165,627,221,181000
2382,1339,389,192200
4815,3232,1016,191800
2085,1112,391,173900
2562,1222,446,226200
3142,1520,503,232500
2299,1049,447,208100
1519,758,304,214000
2395,1214,521,212300
2603,1305,507,214400
2911,1395,486,203700
1921,969,327,188700
1323,807,247,174800
3395,1886,737,174400
4711,2984,931,184700
1287,779,229,175800
1288,758,250,173900
2424,1293,444,189900
802,445,150,185000
903,444,158,174400
4039,2269,663,205100
1606,829,273,187600
1478,956,277,185300
2830,1204,404,289600
5166,2374,753,285200
3708,1921,721,210400
4534,2547,895,215400
3700,1793,552,219800
5805,3106,1144,222700
10621,3836,1480,257200
2161,1235,383,202800
1677,1021,332,199700
1065,574,171,200800
1932,1053,316,213300
1758,972,338,209800
1942,1127,325,206300
2968,1655,628,201000
1653,1003,310,203400
2046,1018,320,212800
1011,578,171,188700
2417,1276,426,205200
2678,1540,497,202900
1589,804,272,202900
1375,670,221,198200
2169,1169,406,218700
2722,2541,462,221400
1382,685,255,211700
2182,1248,399,216700
1636,977,357,209900
1434,744,252,202400
1337,692,235,213700
2518,1309,421,210700
4040,2526,798,160100
2323,1741,398,164100
1143,826,188,171100
15,15,6,162500
3797,2043,614,276800
1984,1099,343,250200
4853,2855,1006,208600
1143,508,174,279900
9559,5279,1844,318900
2655,1466,525,265800
2595,1751,479,308000
2077,2087,543,189200
1724,1336,542,183300
1436,1005,298,195800
1022,653,238,189400
1727,932,313,210200
1539,1122,377,196000
1595,1105,359,205600
1789,1429,517,224500
4267,3176,1071,208200
1243,788,286,185100
2988,2144,667,189300
734,565,191,192000
396,261,73,172900
1307,967,254,178300
2003,1291,392,201100
2203,1470,488,192200
1569,1203,359,180500
2172,2386,597,150600
2006,1687,463,158800
1377,1142,272,141600
603,588,218,186400
1481,1206,394,189300
1099,787,269,194600
647,457,143,162500
332,302,60,156300
2991,2486,754,181900
1076,1535,323,145000
852,806,202,134400
1014,1064,247,125500
385,402,95,129700
705,655,149,141100
871,2862,181,123800
1256,2990,302,121800
389,455,107,109200
1856,1853,452,131900
464,416,120,142600
278,266,56,98200
1715,2052,440,116100
934,893,192,140300
1070,925,220,133000
1291,1535,332,119200
1296,1423,276,135200
1273,1193,260,122900
3272,3299,726,126500
762,817,176,123100
616,814,180,115100
1807,2118,669,129000
1079,1249,249,141700
1011,1164,262,146900
1074,1613,308,131700
855,785,169,122200
691,613,142,133900
563,682,137,150000
609,690,134,145800
908,1005,224,134000
911,1005,229,114000
962,999,221,126000
733,715,165,124100
1670,1997,452,150500
859,835,232,143800
1346,1177,295,153400
1279,1438,329,157600
1682,1706,409,153300
525,627,145,125000
2115,2842,572,121300
2250,2588,609,134200
2631,2920,677,145600
1535,1820,419,142800
1138,1484,320,150700
2631,3228,701,132200
474,546,121,137500
661,720,143,142500
1478,1735,348,136700
832,987,220,125000
887,965,217,133900
1845,2191,492,127300
2099,2325,528,140800
1636,1855,502,152400
882,1248,281,120000
1629,1893,387,137500
676,851,199,140600
760,968,202,145000
759,883,226,143800
346,488,107,112500
894,925,222,145000
2201,2682,595,143400
1734,2053,508,149200
1256,1511,381,166000
1055,1303,302,138800
946,1191,261,132000
1474,1962,501,139600
2729,3004,722,154300
2344,2195,610,151900
814,773,208,156900
690,952,255,158900
1552,1919,427,137500
1218,1175,342,173900
1715,1740,423,153300
1912,2077,500,180600
984,1024,284,153500
1007,1060,268,153700
1384,1825,455,145500
1746,1296,392,156800
1973,1841,502,156500
1179,736,252,161800
2412,2119,600,151100
782,827,223,154300
815,775,231,190000
3281,2385,733,173800
1417,1068,331,164600
1956,1472,464,166300
2122,1929,539,169300
2403,2103,547,193800
2573,1568,459,193700
2886,2650,728,178700
1141,1189,321,162500
2316,2012,544,176800
2296,1777,507,191000
932,717,180,178100
1705,2037,459,137500
702,834,216,162500
3361,3264,914,145600
3218,2368,730,175300
1341,1233,306,150500
1228,1603,323,130800
931,732,235,142800
1657,1689,418,149300
322,319,90,148800
47,51,23,112500
167,267,55,350000
378,714,156,112500
1402,1976,466,163200
1499,1754,447,143200
1849,1529,418,186300
2283,3032,832,175000
1095,1300,318,123200
1011,899,219,190600
986,1439,251,183300
706,839,199,165000
2562,3909,955,150600
312,498,87,96400
861,1062,231,115400
885,1270,282,118800
2215,2054,480,100300
1486,2312,541,92900
617,754,144,116700
1087,1441,310,112500
1867,2223,609,105100
1045,1666,337,97200
1553,2271,437,121900
1503,1886,401,125000
1196,1622,327,108900
972,1288,261,125000
173,230,57,110700
1971,2650,605,169900
626,625,156,166300
2643,2784,711,184400
1514,1496,448,148200
1781,1913,702,255000
2225,2980,736,128800
1366,2160,497,150000
867,950,235,163100
1863,2274,510,171300
1315,1257,298,169000
788,883,221,164600
1705,2212,539,161500
1705,2252,508,154200
1134,1615,354,141700
1212,1129,263,142300
1547,1930,427,157300
973,1257,258,158000
1429,1537,389,157500
2073,2544,598,156300
1608,2140,488,154700
1474,1844,464,160000
1172,1741,408,154700
1022,1058,275,156700
1273,1398,353,147800
1186,2087,409,154600
1091,1418,316,159400
151,380,83,189600
1790,1827,520,181300
2700,2815,767,178400
4179,4582,1196,172100
1403,1506,375,172700
2369,3259,770,158500
1911,2055,534,154600
988,1508,351,154800
1010,1157,301,161800
1871,2542,581,164400
1880,2646,605,162000
1735,2237,545,156100
1230,1512,364,170800
428,585,139,132100
3388,3558,957,159000
2410,2106,593,168200
627,834,175,163600
756,873,212,156000
903,1068,251,165400
2887,2806,830,169400
3214,3086,808,189400
1698,1280,405,206300
1477,1514,408,178600
1184,1320,276,165600
1174,1758,361,158100
1903,1882,435,170500
1516,1977,435,157800
2419,3208,719,176000
1846,2576,528,156000
1161,1175,282,177000
590,620,132,143800
927,970,248,181500
2064,2461,573,160800
1407,1763,350,150000
1196,1448,320,162500
1444,1890,416,176600
1347,1756,438,190600
1363,1897,364,191100
221,286,64,175000
1236,1486,337,155400
1201,1482,334,150000
1471,2272,482,160900
2249,2621,628,164200
1635,2480,481,187500
3297,5027,1041,164200
2913,3803,740,146500
427,402,105,137500
3507,3740,970,142000
6895,8551,1808,154500
2911,3559,945,146300
2474,2830,694,166200
825,820,184,174300
3114,2959,776,171700
2090,1871,504,169000
1409,1268,317,170600
1751,1558,379,166100
4220,3731,892,167600
381,259,60,166100
1147,1097,307,162900
2748,2962,703,169300
3186,3913,842,148200
1688,1663,381,171300
1058,1097,274,183300
932,1226,264,111400
1657,2033,443,118500
1357,1657,331,111800
1182,1644,346,115100
1053,1354,292,112500
879,1057,230,114800
1026,1316,268,102600
1346,1520,356,108700
1735,2288,524,98800
1212,1403,279,117200
859,912,191,105100
794,814,213,112000
1876,1571,458,112500
1231,1217,354,106600
1724,1876,416,100600
1052,793,216,92900
1326,918,258,98800
2015,1543,399,98100
1766,1655,420,95500
1576,1252,302,98100
405,686,164,94800
1062,1136,273,109100
1338,1765,388,109900
643,821,191,97300
946,1101,239,105900
1602,1553,342,93400
705,739,140,99000
504,789,167,91400
2050,1959,485,168900
2265,2323,599,155300
2232,2361,608,170900
1542,1711,468,164200
