year,mileage,tax,price
2020,582,145,56894
2019,11113,145,21294
2019,11464,145,51862
2016,33500,200,23912
2018,35742,145,11872
2019,2788,145,28676
2016,27041,200,23142
2020,4521,145,34890
2016,20160,160,20000
2018,15866,145,22995
2016,25244,20,13298
2016,25097,235,29172
2018,30930,150,19261
2016,14900,125,14242
2019,10386,145,43946
2017,54983,145,14788
2016,13282,30,14959
2017,19297,145,17259
2017,41000,145,23890
2019,2100,145,31490
2018,6000,145,22941
2015,28418,30,12762
2016,31224,205,31390
2019,3827,150,29562
2017,23052,150,14180
2015,69431,0,9442
2018,14893,145,17990
2017,8763,30,18698
2018,19227,145,61900
2018,11000,145,38750
2018,43525,145,18688
2015,34995,165,21488
2015,55201,0,10490
2015,26000,0,11995
2019,1666,145,27695
2019,15571,145,25636
2017,9011,145,37332
2019,9740,145,65290
2013,73032,150,11341
2017,24587,150,11990
2016,30394,0,9980
2017,25988,150,23890
2014,22800,30,13995
2016,29491,125,20995
2016,17344,30,14895
2015,39000,20,13995
2016,20193,30,12650
2015,53584,325,24991
2017,19992,145,19456
2015,55559,300,22782
2017,15440,30,18762
2017,19543,30,18690
2019,8564,145,28566
2019,11558,145,18160
2019,12140,145,18380
2019,20300,145,24720
2017,12199,145,18990
2015,31086,205,17490
2017,24015,30,12999
2016,37505,205,19990
2019,12844,145,31600
2019,3653,145,32890
2020,1354,145,48490
2020,3532,145,27890
2019,4757,145,25490
2019,7396,145,26980
2017,10894,145,20479
2018,18782,145,56990
2015,57800,145,14490
2017,14960,145,11490
2018,7479,145,29990
2019,8752,145,22490
2019,13502,150,31990
2018,17929,145,20391
2017,13840,145,12260
2014,62871,20,9720
2017,9997,145,20998
2016,31516,145,16798
2016,29777,145,17798
2017,10000,145,20495
2017,12000,145,19995
2018,23500,145,37995
2015,20346,30,15498
2017,9347,145,18998
2019,9000,150,55495
2016,15716,30,11107
2013,80931,30,9691
2015,26200,20,11211
2016,19749,30,13699
2015,43979,200,18998
2016,40809,125,19698
2019,5790,145,18998
2017,32500,30,15995
2017,33600,145,17649
2018,15091,145,18500
2018,16600,145,31500
2019,1980,145,48500
2019,5500,145,28750
2019,18200,145,46500
2016,16021,160,19298
2017,12891,145,19998
2016,10146,145,19298
2013,81012,20,7598
2016,29203,30,14298
2016,19687,30,14998
2017,30000,145,14980
2016,7433,200,18120
2016,43151,20,15998
2016,21132,0,17495
2015,20258,0,12495
2015,39854,0,11995
2015,25959,20,11995
2015,30224,125,17495
2016,19912,145,15995
2019,6936,145,23350
2016,17157,125,19771
2019,4278,145,50786
2013,49447,125,8999
2016,25277,30,11510
2016,37848,30,18900
2017,11784,145,18295
2015,49487,125,15995
2014,25854,30,9690
2019,6806,145,30796
2019,14,145,25016
2019,2416,145,24436
2019,16161,145,22230
2016,26301,20,16792
2019,9256,145,23991
2019,6000,145,44212
2015,50811,20,11995
2016,31959,160,19495
2013,56000,300,17650
2013,70000,145,9649
2016,12683,125,17940
2016,28197,30,16997
2017,11340,145,20620
2015,57192,145,14500
2017,6287,150,15991
2015,55200,20,12230
2016,28555,20,14899
2019,4150,150,19471
2018,22604,145,20971
2017,22791,145,20671
2018,11532,145,17971
2018,18696,145,18995
2016,55000,30,13450
2015,25500,20,9750
2015,56000,205,17250
2013,68000,0,8995
2016,28000,125,17250
2017,20482,30,16671
2017,36391,145,18481
2018,6173,145,39881
2019,5713,145,26132
2019,3356,145,26302
2015,34188,30,12881
2016,30294,125,22990
2016,36157,20,15290
2016,44601,200,21490
2016,26832,235,28881
2017,18926,200,22971
2019,4352,145,22382
2016,24831,30,20192
2019,9089,145,51991
2016,33112,30,15991
2016,66506,235,22990
2015,20828,30,10590
2017,27379,200,26490
2014,43888,235,18962
2016,17868,30,15990
2015,69130,0,11120
2016,22499,160,23482
2016,11540,30,20481
2018,19677,145,18992
2017,25593,145,19632
2017,15268,125,17132
2016,44929,200,21571
2019,14915,145,47816
2017,11070,145,21481
2017,38810,30,17012
2018,15475,145,23132
2017,10504,145,26062
2016,35706,125,16862
2018,31846,150,15749
2019,6734,150,21989
2016,21699,30,19280
2016,14779,145,18202
2018,18865,145,23252
2016,19411,160,21241
2017,12272,145,19310
2016,51124,0,13110
2017,28691,145,11000
2017,28828,145,18995
2019,15425,145,23995
2016,18679,30,10870
2014,40276,30,12470
2017,21634,145,24000
2019,2117,145,41606
2019,9026,145,24260
2017,27079,30,13982
2020,2640,145,28990
2017,44180,30,16991
2019,5209,145,22276
2019,8909,145,33560
2019,5004,145,37800
2019,3866,145,32326
2020,3092,145,31760
2019,12186,145,25946
2017,46096,145,11771
2020,1703,145,29490
2020,2240,145,38990
2020,1884,145,32990
2020,883,145,24990
2020,4250,145,43990
2019,10065,145,21656
2019,3145,145,25490
2019,3653,145,21355
2019,3774,145,22365
2015,20385,125,15432
2016,52226,20,12771
2018,29683,150,28471
2013,75900,125,9995
2014,55800,125,14810
2014,24055,20,10582
2016,44077,125,13252
2016,22000,30,16000
2015,20518,0,11800
2019,9316,145,26184
2019,7188,145,27640
2019,5956,145,44300
2019,6009,145,22165
2016,52405,160,17322
2016,24490,200,20771
2019,3125,145,26676
2015,44230,160,20981
2016,25556,30,16492
2019,4383,145,19926
2019,6389,145,28770
2019,6146,145,28160
2015,12123,160,16406
2019,5150,145,34376
2019,2536,145,22476
2019,4891,145,24695
2019,5891,145,32195
2019,5496,145,24526
2015,19516,30,13942
2016,49237,145,16962
2016,29273,0,15082
2016,38272,30,16402
2013,65140,20,8971
2017,18892,150,18781
2017,24260,150,23671
2017,15888,150,18771
2016,61411,205,28371
2019,9771,145,54883
2019,8765,145,28610
2019,4009,145,55292
2017,13606,145,22146
2018,20280,145,14481
2019,2869,145,24164
2019,7825,145,29256
2019,5456,145,32956
2015,46085,235,26276
2019,10521,145,48642
2019,8422,145,43475
2016,19135,30,12672
2020,1276,145,22777
2019,6995,145,36610
2017,17503,145,18772
2014,38322,145,15322
2020,3925,145,30777
2016,22478,30,17702
2016,33481,200,31652
2018,24891,145,39076
2016,14931,20,13862
2016,23448,30,13432
2019,5263,150,27162
2014,40000,125,8999
2016,29782,30,14671
2017,21876,150,28062
2017,30194,145,19998
2017,16000,200,22495
2013,52134,200,12495
2017,35964,145,17500
2019,2550,145,19196
2019,15803,145,28620
2019,3184,145,20956
2019,3662,145,34256
2015,38017,165,15990
2014,55364,30,11941
2016,51756,205,18690
2018,10340,150,16295
2013,76026,30,10310
2015,21438,125,10598
2016,21155,125,20498
2016,60569,200,27057
2015,35395,300,29250
2017,40054,145,22490
2013,48627,260,14550
2014,32709,145,10991
2016,59302,30,10510
2016,18365,30,14470
2019,5003,150,26490
2017,37556,145,18937
2017,28411,30,16430
2018,20313,145,16990
2016,24673,20,15270
2016,23416,0,11120
2017,34700,150,14391
2018,23657,145,29691
2016,40484,145,21895
2015,34899,200,19100
2016,17679,0,10990
2019,3221,145,20726
2019,3628,145,26876
2017,23838,30,13852
2017,35712,145,18000
2018,13166,145,17782
2016,22049,235,26796
2014,38240,145,13549
2016,81386,145,13680
2014,95001,260,18420
2017,15712,20,13491
2018,60892,145,16991
2016,59691,30,13070
2013,82591,30,9960
2017,42753,20,11991
2016,24563,30,16670
2017,34153,160,23836
2014,61140,200,14086
2015,17078,160,21836
2018,5538,145,35866
2019,6033,150,22302
2014,69798,200,15490
2019,3795,145,22383
2019,4389,145,26073
2019,3795,145,32243
2016,30000,240,8695
2019,6063,145,46426
2017,15336,145,25082
2016,16594,300,31072
2019,5364,145,28396
2017,18574,145,18182
2016,47538,200,31072
2019,3130,145,31210
2017,39836,145,13532
2019,3017,145,24440
2014,43700,300,25042
2015,23530,200,20176
2017,6931,145,19082
2016,33931,145,20992
2019,2801,145,20766
2017,49281,150,22895
2014,66883,30,10595
2015,42940,200,17595
2017,12751,145,51595
2019,6223,145,24798
2019,22,145,23998
2014,76101,30,9980
2016,48175,145,16637
2015,28294,0,14981
2020,4002,145,37981
2020,3662,145,20481
2016,24717,20,16582
2016,21002,160,17584
2016,24154,30,11602
2016,74924,30,10500
2017,14700,30,16499
2015,54566,0,9000
2019,3951,145,22976
2017,26479,125,16362
2018,18280,145,18981
2019,2401,145,27236
2019,8990,145,47916
2016,30522,30,17481
2019,7188,145,21374
2019,1490,145,21726
2019,5872,145,27870
2019,5260,145,45912
2019,11113,145,33630
2019,10210,145,43244
2019,6328,145,26925
2019,10472,145,21226
2018,10980,145,20442
2017,21849,145,18000
2017,16949,145,18500
2016,21809,0,10691
2015,20411,0,12995
2016,22789,30,14995
2016,42611,20,16495
2017,7198,150,14495
2017,18331,145,30981
2017,17506,145,31252
2019,6810,145,24590
2017,19416,145,19242
2017,36000,30,20481
2020,1276,145,23481
2017,19533,145,24997
2016,34539,0,11950
2014,79965,30,13541
2020,22601,145,32481
2013,18894,30,9481
2016,31479,30,11392
2017,28200,0,12100
2014,12318,200,21572
2019,9643,145,40970
2019,3358,145,21981
2018,29782,145,21332
2016,41088,200,19412
2017,14562,145,26102
2017,43521,30,10972
2020,2661,145,20481
2020,2998,145,32981
2017,15920,145,20972
2017,13750,145,21481
2016,36552,0,11232
2018,31362,145,64842
2016,11881,30,20112
2014,49688,300,20452
2019,9432,145,53981
2017,29491,145,13295
2019,11785,150,21892
2020,3116,150,37682
2018,19227,145,28452
2016,44658,125,14032
2019,8656,145,32182
2019,5426,145,21162
2015,33920,205,17950
2017,45324,30,15395
2020,10,145,23500
2019,12513,145,26156
2019,9589,145,31516
2019,4508,145,31156
2019,10221,145,25986
2019,2364,145,30576
2019,4566,145,46456
2017,58021,145,19712
2019,11252,145,22262
2019,4722,145,21392
2019,3571,145,21902
2018,60130,145,22318
2015,48093,20,11322
2018,19444,145,40892
2015,30042,0,10330
2016,40895,200,17497
2017,19210,125,18495
2015,42971,160,15250
2016,21102,30,18000
2017,36667,150,18000
2016,33435,30,15000
2014,72562,260,18990
2019,8534,145,21686
2016,29627,30,12977
2016,42011,0,9995
2017,25679,30,12000
2015,46901,20,9999
2016,24285,20,12699
2013,53364,125,11999
2015,49600,160,12799
2017,47228,150,23500
2017,43990,20,14000
2018,9153,145,24000
2015,28771,30,12000
2016,21410,145,19000
2016,35076,0,9995
2017,33000,150,20875
2014,18258,20,13950
2013,65542,145,10950
2017,8956,150,14517
2016,36843,0,10020
2013,67636,260,15290
2017,11627,30,18998
2017,40008,125,16998
2016,18432,30,17498
2015,82725,145,18498
2017,17233,30,12495
2017,19210,125,18495
2015,52200,30,9397
2018,27150,145,18499
2016,43309,0,15499
2018,24090,145,34491
2019,19,150,26998
2017,16434,145,15698
2019,22,145,27298
2017,32895,125,16505
2018,5208,145,18505
2019,6623,145,23755
2017,21668,145,19299
2013,43376,200,13499
2015,33769,30,13499
2017,22491,145,22711
2018,16861,145,39999
2017,39000,145,16499
2017,28814,145,17499
2018,20136,150,19995
2016,32272,200,21483
2015,34190,0,10495
2016,27500,20,17295
2017,37151,145,15998
2016,49450,200,18450
2017,35790,30,17190
2016,44603,0,14998
2018,10249,145,33998
2019,2117,145,19998
2016,38935,20,13500
2016,24918,0,11995
2018,10827,145,21498
2018,21237,150,24698
2019,6550,145,22005
2016,31975,160,18505
2017,18135,145,18505
2017,42594,30,15255
2018,10429,145,21755
2016,19038,0,12505
2018,23765,145,17505
2019,1980,145,27001
2017,10683,145,20505
2013,44374,0,9755
2017,23188,145,23252
2016,37709,200,23232
2017,28498,145,21602
2016,53339,30,17862
2016,18759,160,18272
2013,57062,125,10962
2016,19360,0,10790
2017,36008,150,16745
2017,39992,145,15982
2016,19681,145,18991
2017,11836,20,13999
2019,7650,145,19750
2016,33000,165,16495
2019,5051,145,24662
2019,7728,145,34922
2017,7541,0,12372
2019,4300,145,29532
2017,26111,30,17255
2018,17640,145,27005
2018,5485,145,21755
2019,6793,145,35505
2017,31605,145,19655
2018,26211,145,19755
2016,21540,30,16755
2019,17467,145,22005
2016,48782,20,13005
2018,9707,145,20001
2019,4379,145,19752
2017,3827,145,25755
2017,11000,150,17755
2013,80248,125,9730
2014,64458,30,10100
2015,73946,20,10999
2020,1000,150,39000
2020,5000,150,62000
2020,2000,150,31000
2019,2933,145,21032
2019,1782,150,21032
2019,4962,150,22792
2019,8050,150,26022
2020,1200,150,38990
2016,50000,0,9912
2019,100,145,32750
2019,4500,145,28250
2019,5007,145,30500
2019,3378,145,29300
2020,3000,150,32000
2020,2000,145,42500
2019,1500,145,23900
2019,100,145,24000
2019,1500,145,22650
2019,5780,145,20750
2016,22406,145,18502
2019,6600,145,48255
2016,26476,30,15255
2019,3000,145,58500
2019,100,145,29000
2019,100,145,35500
2018,11617,145,25000
2018,11500,145,25500
2019,4500,145,31750
2019,3500,145,28000
2019,1000,145,57000
2019,2000,145,31000
2019,10661,150,20000
2019,100,145,30500
2019,4563,145,24750
2017,18778,145,19505
2019,5727,145,21005
2019,3233,145,25005
2017,33761,145,27505
2019,6257,145,30755
2017,40677,20,14505
2018,12200,145,40755
2019,7392,145,27900
2019,100,145,29500
2019,5999,145,34255
2019,4500,145,31000
2019,4665,145,29000
2018,1000,145,30650
2018,1000,145,27500
2019,7800,145,23750
2019,100,145,25000
2019,1500,145,36500
2019,1000,145,31000
2019,2000,145,33500
2019,6000,145,32000
2019,100,145,25750
2019,2214,145,24500
2019,100,145,28750
2019,6000,145,31000
2016,38197,200,20500
2017,11906,145,22003
2019,6109,145,22752
2019,6934,145,19000
2019,100,145,125000
2019,2000,145,36500
2017,17920,145,20500
2018,3000,145,39500
2018,4000,145,39500
2019,6750,150,30000
2015,37634,0,10850
2014,44488,150,12750
2019,1000,145,135000
2018,7800,145,23000
2019,945,145,56000
2019,5900,145,48000
2020,384,150,32910
2019,5745,150,41718
2015,34468,0,11495
2018,8000,145,26000
2018,7500,145,26000
2019,5800,145,89750
2019,4000,145,35000
2020,859,150,30990
2017,26722,150,16989
2019,13479,145,26875
2019,4040,145,20974
2019,3885,145,21336
2019,14563,145,30870
2019,5724,145,30950
2018,1000,145,39500
2018,3000,145,27000
2018,3000,145,33500
2016,10618,0,12250
2016,16004,30,13250
2015,41733,330,41750
2017,15992,145,20490
2015,28527,20,11995
2016,24523,20,15380
2018,14267,145,23490
2017,25129,145,19801
2017,18434,125,19701
2019,5700,150,22001
2016,25848,145,17801
2017,25079,150,19401
2019,3362,145,37201
2016,34893,235,25495
2017,19701,20,16695
2018,8215,145,19995
2017,24408,150,17495
2013,62331,125,7783
2017,12541,145,11990
2016,20826,30,11491
2017,49000,30,15441
2014,49030,30,10345
2015,29987,260,18995
2013,30152,30,13170
2017,31011,145,12802
2016,40120,150,16800
2016,47026,200,19995
2015,49166,125,13390
2017,29795,145,21930
2018,10204,145,19647
2016,48887,20,9491
2019,8000,150,28500
2015,32288,30,17000
2019,10,145,28991
2019,5998,145,21691
2019,2250,145,32991
2019,4500,145,32991
2016,65379,30,16500
2016,27385,260,21998
2013,30256,200,13798
2019,3000,145,30991
2016,30270,30,18492
2016,45338,145,12992
2017,27148,150,32991
2019,2847,150,36991
2019,3342,150,25491
2016,39154,20,12698
2014,25256,30,14998
2016,52427,235,27498
2018,18714,145,27992
2018,6541,145,23991
2018,12956,145,21991
2019,1850,145,29991
2017,56876,145,18349
2017,15361,145,19669
2017,39382,150,16998
2014,51529,30,11798
2018,6625,150,13498
2019,17,145,24998
2019,1800,145,20998
2019,2000,145,40991
2019,5447,145,28691
2019,3590,145,19991
2019,14537,145,22992
2019,5391,145,46992
2015,31554,235,16995
2015,35670,125,13995
2015,47355,125,15495
2017,90778,150,16499
2017,24337,150,22999
2016,55561,125,15491
2015,46062,125,12999
2015,40889,260,17895
2015,27209,0,10420
2014,65374,200,14790
2013,27700,145,12781
2018,12088,145,37504
2019,2714,145,25491
2019,10,145,20992
2013,52249,30,12291
2017,13766,145,18691
2017,29884,145,18991
2018,21000,145,18991
2014,56000,165,10891
2014,50000,205,13991
2019,3019,145,34991
2019,16584,145,33992
2017,36852,160,19691
2019,4613,145,34991
2016,9141,30,19991
2018,8155,145,16992
2019,2798,145,29991
2019,11500,145,30991
2019,7961,145,24991
2019,9250,145,24491
2015,40275,200,17591
2019,3500,145,32991
2019,10,145,36991
2019,1200,145,38991
2019,11000,145,39991
2019,1000,145,29491
2019,2010,135,44991
2019,2000,145,36991
2019,4500,145,39999
2019,3300,145,25992
2019,10,145,38691
2019,10,145,32991
2019,5500,145,28491
2019,10,145,27991
2019,100,145,34491
2019,10,145,21991
2019,500,145,25491
2019,8702,145,53491
2017,19000,150,17991
2014,51390,125,9490
2017,25483,150,15691
2016,40491,0,13695
2017,40307,0,12495
2017,22620,145,19995
2017,20696,150,15991
2019,11275,150,20991
2017,28000,150,14991
2017,16540,150,37991
2020,34,145,29491
2019,2621,145,24991
2019,1819,145,24991
2017,5697,145,13390
2018,11924,150,20000
2017,7840,30,19499
2017,27937,30,13991
2015,42157,0,11491
2016,37416,30,14491
2016,23237,160,19491
2015,49969,125,12991
2016,21257,30,14991
2016,41376,145,16991
2019,1948,145,22991
2019,5500,145,26491
2019,2100,145,27991
2019,16637,145,27999
2015,49610,300,24699
2017,22631,30,18999
2014,48708,235,14500
2018,6349,145,16995
2018,8982,145,19995
2018,19792,145,18495
2015,45500,20,12798
2017,80005,145,13298
2017,24354,20,17760
2019,1900,145,22991
2019,6000,145,24991
2019,2500,145,24491
2019,7951,145,24992
2019,3386,145,20691
2019,9281,145,20491
2019,14598,145,34991
2015,37081,30,11230
2016,67189,145,16600
2016,14997,125,16150
2016,35412,30,10330
2014,53010,30,11498
2019,8649,145,19998
2017,34727,205,23998
2013,59386,125,11980
2016,18617,20,13000
2013,52210,150,10260
2016,46516,20,10500
2016,67537,0,9800
2016,17248,30,11750
2013,55159,160,9430
2015,33000,200,19795
2016,51410,125,16000
2016,27410,145,17200
2016,30864,0,11798
2016,28403,0,11498
2019,11120,145,15600
2015,52992,125,12000
2014,44247,235,17999
2017,14383,145,16999
2018,15350,145,22999
2015,43578,30,11799
2016,68829,20,12300
2017,30324,145,27300
2015,35112,200,19751
2014,65203,125,10291
2015,39362,20,12391
2016,58161,30,12900
2016,63117,200,18000
2017,17845,145,22800
2019,5121,145,18650
2017,28472,125,16500
2016,30582,30,11500
2015,72952,20,9999
2017,20505,145,15200
2017,38837,145,15991
2017,25253,30,14495
2015,27013,30,10291
2014,44998,145,11991
2016,42318,160,17581
2014,30287,125,10291
2013,30973,125,13930
2016,19807,30,11271
2014,64460,30,10100
2017,9031,145,21495
2015,92582,150,12995
2016,51757,20,12891
2017,7395,150,12291
2016,63345,160,16342
2016,33266,30,16495
2017,25868,145,20000
2016,21069,150,14500
2017,40047,145,16647
2016,36611,30,17397
2016,51235,160,17797
2017,54305,30,15995
2016,35500,165,18495
2016,39073,30,15695
2014,42000,30,11495
2013,54143,265,19995
2013,26500,150,11500
2018,23102,145,14995
2016,37729,30,15995
2016,29760,30,16290
2017,23450,0,12560
2017,51483,160,19490
2016,42299,30,13991
2013,62090,30,9991
2013,89831,0,6998
2017,46140,145,16495
2017,16760,145,15995
2014,35025,260,23995
2016,25718,125,19495
2016,32200,30,16295
2016,30000,20,14991
2017,20054,145,21991
2019,6958,145,18991
2016,51545,150,14510
2017,12000,145,15307
2015,26190,200,20000
2016,50403,145,14800
2017,16781,145,21200
2014,41605,145,14000
2016,44531,125,18900
2018,14872,145,14990
2016,33186,0,9790
2014,73885,145,11497
2014,69416,200,13971
2020,2500,145,69691
2018,26485,145,25991
2019,4304,145,22991
2019,2259,145,21691
2017,25120,145,17491
2019,7600,145,27991
2019,4552,145,21491
2018,8009,145,22691
2018,16650,145,28991
2013,37502,125,9313
2015,49313,235,15770
2015,32103,150,16700
2019,6137,145,44990
2019,24,145,23998
2017,8597,150,12998
2019,4000,145,23692
2019,7000,145,22991
2017,17909,20,16992
2018,3537,145,39991
2018,9519,145,20691
2018,12907,145,29991
2017,21180,145,17992
2017,16456,145,17992
2017,59973,145,10700
2018,20622,145,19500
2020,5900,150,40000
2017,23932,150,18698
2016,37148,0,10498
2016,55905,0,10295
2015,31321,150,16490
2018,10094,150,19000
2019,3322,150,35500
2016,49361,205,19000
2014,65710,165,13000
2019,2263,150,37000
2016,28224,145,21000
2017,18698,150,12000
2017,39999,145,12230
2015,42838,30,16750
2016,40711,30,11290
2019,3743,145,26990
2015,36796,0,9313
2015,58774,160,14500
2019,7841,150,37434
2019,3034,150,24000
2014,27260,125,9782
2013,37060,125,8497
2014,58330,235,17190
2016,14681,0,12691
2015,26549,0,10170
2015,46893,20,10500
2015,23886,30,16499
2020,4000,145,42500
2017,56470,145,35500
2020,4000,135,46000
2018,20546,145,14750
2020,4000,145,35000
2020,4000,145,41500
2016,36323,145,17490
2017,19633,30,11490
2016,34507,0,10998
2015,57179,30,10499
2014,69416,200,13042
2017,10160,125,19560
2019,6607,145,29000
2017,31000,145,17450
2015,24380,200,20499
2017,59000,0,11999
2017,22491,145,23499
2017,15365,145,16288
2018,25559,150,18999
2018,13950,145,18990
2020,4000,145,55500
2016,39818,200,20000
2019,4504,145,20000
2017,12650,145,27000
2020,3220,150,97500
2017,15100,150,16000
2018,18794,145,14999
2016,46816,30,14220
2017,28319,145,15290
2019,8613,145,41000
2017,38000,30,19500
2019,7500,145,29500
2020,4000,145,24500
2020,20,145,32000
2018,30447,145,27500
2020,20,145,29000
2020,20,145,32000
2020,20,145,29000
2020,20,145,29000
2017,35903,145,14750
2020,5000,145,21000
2019,1838,145,23000
2019,8000,145,23500
2016,20068,20,19000
2019,17125,145,21000
2016,27515,125,14000
2019,5000,145,21750
2019,4500,145,24750
2019,2800,145,47750
2019,650,145,27850
2019,8000,145,28000
2019,6000,145,18000
2017,28700,145,22950
2016,27450,30,18500
2017,18850,145,24500
2016,32650,0,11850
2019,8000,145,29850
2019,6000,145,26500
2019,6500,145,19000
2019,7000,145,23750
2019,4234,145,18000
2019,4500,145,18000
2019,7750,145,26000
2017,18633,145,15995
2017,30884,145,22000
2015,37841,150,15990
2018,35455,150,27000
2018,9797,150,27600
2017,32500,150,12000
2019,3303,145,26000
2017,36107,150,15490
2013,98386,325,15490
2014,66992,30,9990
2019,11271,145,37000
2019,4500,145,18750
2019,5000,145,36000
2020,4500,145,22250
2017,45000,145,25000
2017,27672,125,18400
2015,56000,0,9500
2019,10000,145,26950
2019,8693,145,29000
2020,4500,145,27500
2019,5744,145,27000
2019,4500,145,21000
2019,6500,145,27000
2017,15685,125,17300
2017,21408,145,20597
2013,76553,160,11691
2013,50672,200,13987
2014,42944,145,11140
2018,31433,145,17297
2017,37750,145,16000
2019,3934,145,31500
2015,45600,200,21500
2019,5000,145,20000
2019,5200,145,24000
2019,5500,145,23500
2019,8000,145,30000
2019,6200,145,27500
2019,4500,145,30000
2020,5000,145,35000
2020,5000,145,20000
2020,4500,145,30450
2020,4500,145,29850
2020,6500,145,36000
2020,5000,145,29000
2020,4500,145,59750
2020,6500,145,36500
2020,4500,145,21000
2020,4500,145,30850
2017,29323,150,19498
2015,12657,150,15698
2019,4950,150,19000
2019,4100,150,19500
2017,13133,145,18487
2019,5797,145,22850
2019,2411,145,20000
2019,1853,145,21000
2019,5000,145,21000
2019,5850,145,23750
2019,11486,145,20000
2019,3059,145,30000
2019,9706,145,50000
2020,4000,145,30850
2018,15401,145,19500
2020,5000,145,51000
2020,4500,145,24250
2020,4500,145,34000
2020,4500,145,34000
2016,11800,20,12750
2016,31950,30,19500
2019,5820,145,28000
2016,20318,150,19498
2015,52625,160,14691
2014,61892,555,23491
2015,60820,165,13291
2013,36061,125,13350
2014,40490,20,13580
2015,31909,30,11130
2016,26808,20,15995
2017,26390,150,15700
2017,39585,150,15700
2017,21262,145,23497
2019,4500,145,24000
2019,9784,145,33500
2019,5000,145,20000
2017,11920,150,18500
2018,24350,150,23500
2020,2500,145,45000
2019,4705,145,23450
2016,35750,160,22850
2020,2000,150,22500
2019,3500,150,18500
2016,54000,0,13500
2020,3500,145,39000
2020,3500,145,40000
2015,47600,30,11750
2016,27427,0,11500
2019,2969,145,19850
2019,4647,145,41000
2015,10363,30,15000
2019,2387,145,32000
2020,4500,145,24000
2017,52610,165,18000
2019,11674,150,25000
2016,50941,30,15000
2019,8053,150,33499
2018,15696,145,21995
2017,28275,145,18989
2013,76859,205,14247
2015,17462,160,17491
2017,28710,145,21592
2016,29706,30,15492
2019,5200,145,26000
2019,5000,145,32000
2019,6500,145,56000
2019,9000,145,30500
2019,7200,145,30500
2019,9159,145,46000
2017,51023,145,19000
2017,19250,145,21450
2019,4700,145,24900
2019,4500,145,50000
2019,4500,145,32000
2019,6000,145,29000
2019,4500,145,30000
2020,3500,145,35500
2018,17741,145,24000
2017,16426,145,19000
2019,1462,145,31000
2018,19135,150,18990
2016,44541,30,12490
2013,60000,30,7667
2016,46113,145,15590
2017,30433,145,16730
2017,26450,20,12985
2016,45160,30,16388
2016,17117,150,18490
2013,31864,145,12990
2016,28863,20,11990
2016,22279,30,15000
2019,6001,145,23499
2017,29585,145,25000
2019,4000,145,40000
2019,4000,145,21000
2017,10890,150,17499
2016,51877,20,14000
2018,18139,150,30990
2017,14427,150,15490
2017,24911,150,20990
2014,45492,165,12990
2017,56790,150,18290
2017,37225,240,30990
2016,46816,205,23690
2020,2216,145,19290
2015,25493,160,17790
2019,4359,145,28990
2020,7800,145,45990
2016,41445,0,9490
2017,15836,145,24290
2017,16991,145,19990
2019,7080,145,19790
2018,28677,150,26990
2016,53792,20,11990
2017,40993,150,20990
2016,19280,150,18290
2016,55827,30,15990
2017,54421,30,18390
2017,33139,20,13990
2016,58870,20,15490
2016,23048,150,17990
2018,18373,150,20990
2018,6800,145,27990
2016,15000,235,18990
2017,16000,145,17990
2016,48891,0,13725
2018,20000,145,54490
2017,42300,30,17990
2019,6929,145,43490
2016,33096,0,11990
2018,3750,145,43490
2019,11200,145,19990
2017,28402,20,16490
2019,120,145,28490
2016,36100,125,17990
2016,28500,30,16990
2016,30697,30,16999
2016,56141,20,13999
2017,41000,145,22990
2019,3300,145,32990
2019,7118,145,32990
2019,8175,145,112990
2019,6000,145,39990
2015,29000,20,14990
2019,9937,145,26499
2019,2716,145,22000
2017,17302,145,29000
2013,57465,0,8354
2019,6395,145,22195
2015,26143,125,17495
2016,35692,160,24995
2013,68187,125,10500
2014,54853,305,19750
2015,56000,200,24500
2016,61089,200,26750
2017,13343,145,23499
2019,8143,150,35499
2019,13586,150,23000
2019,5799,150,28000
2019,7566,150,38000
2018,13746,145,25000
2016,25127,125,15000
2016,51600,325,47490
2019,6508,145,36490
2019,7199,145,33490
2019,6000,145,32467
2019,5000,145,31990
2019,5000,145,47990
2019,550,145,24490
2019,2040,145,51990
2019,5092,145,36990
2019,1304,145,21990
2019,1476,145,26990
2019,3832,145,32990
2016,22000,200,22490
2016,34000,30,16990
2019,6666,145,23166
2016,68441,0,11790
2019,6000,145,32990
2019,6000,145,18643
2019,6000,145,27990
2019,6000,145,23290
2019,4054,145,33990
2017,28500,145,22990
2015,27100,20,12990
2018,24340,145,45250
2017,9811,145,23290
2017,24546,30,12995
2016,29050,0,11210
2017,34640,145,17520
2014,77430,0,7690
2016,35940,145,16297
2017,32590,125,16840
2016,29760,150,17470
2014,42892,30,11499
2016,21682,125,16999
2017,25155,145,21499
2019,10000,145,51990
2019,10000,145,44990
2019,6000,145,66990
2019,5982,145,23990
2015,44500,145,17490
2019,2348,145,19990
2019,9476,145,23990
2017,32600,20,15990
2018,10500,145,21490
2019,5454,145,22450
2019,12066,145,22490
2020,4000,145,33499
2020,4000,145,30000
2020,3000,145,20499
2019,10134,145,23000
2019,5606,145,24499
2020,3000,145,60000
2016,36781,160,17499
2015,30760,160,18990
2018,30200,145,20750
2020,5000,145,27990
2019,2901,145,28990
2016,35750,125,19390
2017,18500,145,17995
2018,34150,145,29990
